Fabric,Usage,ProductName,POLYESTER,NYLON,POLYURETHANE,RAYON,POLYPROPYLENE,MODAL,POLYETHYLENE,COTTON,PTT,CUPRA,ACETATE,CORDURA,SILK,SPNDEX,혼용율,구성원사/번수,밀도,조직,후가공,Weight,Thick,WeightOut,ThickOut,OUTPUT,,,,,,,,,,
knit,"active, top",SPH-180NP,62,25,13,,,,,,,,,,,," POLYESTER 62%, NYLON 25%, POLYURETHANE 13%",,,,,9.949,0.36,,,WOVEN,,,,,,,,,,
knit,"active, top",TN246-2,95,,5,,,,,,,,,,,,"POLYESTER 95%, POLYURETHANE 5%",,,,,30.404,0.77,,,척도,무게 분류기준,두께 분류기준,,,,,,,,
knit,"active, top",GO-2322PL,84,,16,,,,,,,,,,,,"POLYESTER 84%, POLYURETHANE 16%","CDW P55D SINGLE SPAN/ CDW P55D/60F(84%), SP20D(16%)",,,,13.131,0.37,,,1,12.6미만,0.48미만,,,,,,,,
knit,"active, top",GO-1969ASPL,90,,10,,,,,,,,,,,,"POLYESTER(ASKIN PRIZMA) 90%, POLYURETHANE 10%","ASKIN PRIZMA P80D/84F(90%), SP20D(10%)",,,,15.051,0.42,,,2,12.6이상-16.6미만,0.48이상-0.62미만,,,,,,,,
9,"active, top",SFT-KMY-044P-018,95,,5,,,,,,,,,,,,"POLYESTER 95%, POLYURETHANE 5%",,,,,20.606,0.48,,,3,16.6이상-20.6미만,0.62이상-0.76미만,,,,,,,,
knit,"active, top",SPH-330P,90,,10,,,,,,,,,,,,"POLYESTER 89%, POLYURETHANE 11%",,,,,14.495,0.39,,,4,20.6이상-24.6미만,0.76이상-0.9미만,,,,,,,,
knit,"active, top",GO-1576,90,,10,,,,,,,,,,,,"POLYESTER 90%, POLYURETHANE 10%","P75D/144F DTY(카치온느낌)(45%), P75D/72F DTY(45%), SP20D(1",,SINGLE SPAN(카치온느낌),,14.343,0.45,,,5,24.6이상-28.6미만,0.9이상-1.04미만,,,,,,,,
knit,"active, top",TN128,90,,5,,,,,,,,,,,,"POLYESTER 95%, POLYURETHANE 5%",,,,,20.505,0.56,,,6,28.6이상 - 32.6미만,1.04이상-0.18미만,,,,,,,,
knit,"active, top",OP-4036NP,53,35,12,,,,,,,,,,,,"POLYESTER 53%, NYLON 35%, POLYURETHANE 12%",,,,,16.263,0.47,,,7,32.6이상,1.18이상,,,,,,,,
knit,"active, top",TN513,95,,5,,,,,,,,,,,,"POLYESTER 95%, POLYURETHANE 5%",,,,,25.606,0.68,,,,,,,,,,,,,
knit,"active, top",75/72 SP20,,,,,,,,,,,,,,,,,,,,15.202,0.5,,,,,,,,,,,,,
knit,"active, top",GO-936,92,,8,,,,,,,,,,,,"POLYESTER(PET/CD) 92%, POLYURETHANE 8%","P30D/24F DTY+CD50D/24F(92%), SP20D(8%)",,,,15.354,0.43,,,KNIT,,,,,,,,,,
knit,"active, top",DN-J03570-SR01,42,,,58,,,,,,,,,,,"RAYON 58%, POLYESTER 42%",,,,"SOLID REACTIVE DYE, TENTERING",17.273,0.5,,,척도,무게 분류기준,두께 분류기준,,,,,,,,
knit,"active, top",JERS53(SJ-98118),94,,6,,,,,,,,,,,,"POLYESTER 94%, POLYURETHANE 6%",,,,CIRCULAR KNIT PD WET FINISHED,16.212,0.37,,,1,5.85미만,0.065미만,,,,,,,,
knit,active,TN239-4,90,,10,,,,,,,,,,,,"POLYESTER 90%, POLYURETHANE 10%",,,,,29.343,0.63,,,2,5.85이상-8.32미만,0.065이상-0.12미만,,,,,,,,
knit,"active, top",SJQ-1203P-F,91,,9,,,,,,,,,,,,"POLYESTER 91%, POLYURETHANE 9%",,,,,13.99,0.57,,,3,8.32이상-10.79미만,0.12이상-0.19미만,,,,,,,,
knit,"active, top",GO-2012,85,,15,,,,,,,,,,,,"POLYESTER 85%, POLYURETHANE 15%","P75D/72F DTY(85%), SP30D(15%)",,,,17.475,0.46,,,4,10.79이상-13.26미만,0.19이상-0.26미만,,,,,,,,
knit,"active, top",GO-488,92,,9,,,,,,,,,,,,"POLYESTER 92%, POLYURETHANE 8%","P75D/72F DTY(92%), SPAN(8%)",,SINGLE SPAN,,14.495,0.48,,,5,13.26이상-15.73미만,0.26이상-0.33미만,,,,,,,,
knit,"active, top",GO-1191,91,,9,,,,,,,,,,,,"POLYESTER 91%, POLYURETHANE 9%","P75D/72F DTY(85%), SP20D(9%), PF50D/36F(6%)",,,,15.657,0.46,,,6,15.73이상-18.2미만,0.33이상-0.4미만,,,,,,,,
knit,"active, top",GO-1142-XN,43,,12,,45,,,,,,,,,,"POLYPROPYLENE(XN-LIGHT) 45%, POLYESTER 43%, POLYURETHANE 12%","PP50D/ P30D/72F DTY (67%), PF50D/36F(21%), 저온SP20D(12%)",,,,14.646,0.5,,,7,15.73이상-18.2미만,0.4이상,,,,,,,,
knit,"active, top",GO-2073,82,,18,,,,,,,,,,,,"POLYESTER 82%, POLYURETHANE 18%","P75D/144F DTY(82%), SP40D(18%)",,SINGLE SAPN(양도),,18.737,0.45,,,,,,,,,,,,,
knit,"active, top",AQX70/68 SP20,,,,,,,,,,,,,,,,,,,,16.162,0.46,,,,,,,,,,,,,
knit,"active, top",GO-2332TML,93,,7,,,,,,,,,,,,"POLYESTER(THERMOLIGHT 45%) 93%, POLYURETHANE 7%","P75D/72F DTY(48%), THERMOLITE P70D/96F(45%), 소취 SP20D(7%)",,,,14.444,0.47,,,,,,,,,,,,,
knit,"active, top",GO-2263P-CDP,94,,6,,,,,,,,,,,,"POLYESTER 94%, POLYURETHANE 6%","레아 인팅 P80D(73%), CD P75D/36F(21%), SP15D(6%)",,,,12.879,0.43,,,,,,,,,,,,,
knit,"active, top",GO-2081N,,78,22,,,,,,,,,,,,"NYLON 78%, POLYURETHANE 22%","N70D/68F(78%), SP55D(22%)",,SINGLE SAPN(양도),,21.061,0.52,,,,,,,,,,,,,
knit,"active, top",CDP75D SP40,,,,,,,,,,,,,,,,,,,,15.455,0.54,,,,,,,,,,,,,
knit,"active, top",TEX-7067,,,3,,,97,,,,,,,,,"MODAL 97%, POLYURETHANE 3%",,,,,25.404,0.81,,,,,,,,,,,,,
knit,"active, top",GO-1988ASPL,92,,8,,,,,,,,,,,,"POLYESTER(ASKIN PRIZMA 48%, ASKIN 44%) 92%, POLYURETHANE 8%","ASKIN PRIZMA 80/84(48%), ASKIN 75/36(44%), SP 30D(8%)",,SINGLE SPAN PIQUE,,14.899,0.43,,,,,,,,,,,,,
knit,"active, top",GO-1630P-V1,95,,5,,,,,,,,,,,,"POLYESTER 95%, POLYURETHANE 5%","CD P75D/72F(60%), P50D/72F DTY(35%), SP15D(5%)",,다이아이중지,,17.727,0.55,,,,,,,,,,,,,
knit,"active, top",SP-8075P,89,,11,,,,,,,,,,,,"POLYESTER 89%, POLYURETHANE 11%",,,,,13.99,0.5,,,,,,,,,,,,,
knit,"active, top",GO-577P,92,,8,,,,,,,,,,,,"POLYESTER 92%, POLYURETHANE 8%","CDP85D/96F(92%), SPAN 20D(8%)",,SINGLE,,16.263,0.47,,,,,,,,,,,,,
knit,active,AMS-8794,,90,10,,,,,,,,,,,,NYLON 90% POLYURETHANE 10%,,,,,20.859,0.53,,,,,,,,,,,,,
knit,active,GO-1219,92,,8,,,,,,,,,,,,"POLYESTER 92%, POLYURETHANE 8%","P75D/72F DTY(92%), SP30D(8%)",,,,16.717,0.46,,,,,,,,,,,,,
knit,"active, top",GO-2124-BR,93,,7,,,,,,,,,,,,"POLYESTER 93%, POLYURETHANE 7%","P100D/192F DTY(93%), SP20D(7%)",,,,15.556,0.47,,,,,,,,,,,,,
knit,"active, top",리즈싱글,,,,,,,,,,,,,,,,,,,,8.687,0.39,,,,,,,,,,,,,
knit,"active, top",12F179A,,81,19,,,,,,,,,,,,"NYLON 81%, POLYURETHANE 19%",,,,WET PRINT,19.798,0.65,,,,,,,,,,,,,
knit,"active, top",OP-4017N,,60,40,,,,,,,,,,,,"NYLON 60%, POLYURETHANE 40%",,,,,16.313,0.44,,,,,,,,,,,,,
knit,"active, top",GO-2087PPL,93,,7,,,,,,,,,,,,"POLYESTER(PRIZMA 76%) 93%, POLYURETHANE 7%","효성PRIZMA(CDW) P75D/72F(76%), CD P75D/36F(17%), SP20D(7%)",,,,13.333,0.47,,,,,,,,,,,,,
knit,"active, top",GO-995PMK-V1,,,9,,,,91,,,,,,,,"POLYETHYLENE(MOKA 39%) 91%, POLYURETHANE 9%","P75D/72F DTY(52%), MOKA.C85D/96F(39%), SP20D(9%)",,,,17.677,0.48,,,,,,,,,,,,,
knit,"active, top",GO-698PAT,90,,10,,,,,,,,,,,,"POLYESTER 90%, POLYURETHANE 10%","P75D/72F DTY(74%), PF50D/36F(16%), SP20D(10%)",,,,11.97,0.43,,,,,,,,,,,,,
knit,"active, top",SP-7193P,92,,8,,,,,,,,,,,,"POLYESTER 92%, POLYURETHANE 8%",,,,,17.626,0.57,,,,,,,,,,,,,
knit,active,12F115,,61,39,,,,,,,,,,,,"NYLON 61%, POLYURETHANE 39%",,,,WET PRINT,24.747,0.67,,,,,,,,,,,,,
