Fabric,ProductName,POLYESTER,NYLON,POLYURETHANE,RAYON,POLYPROPYLENE,MODAL,POLYETHYLENE,COTTON,PTT,CUPRA,ACETATE,CORDURA,SILK,SPNDEX,Weight,Thick,LastStretchLength,LastStretchForce
WOVEN,Shan-680RE,0,100,0,0,0,0,0,0,0,0,0,0,0,0,5.657,0.18,30.0,0.147
WOVEN,528128,100,0,0,0,0,0,0,0,0,0,0,0,0,0,6.313,0.12,30.0,0.45
WOVEN,COSE-AJ-0153,0,100,0,0,0,0,0,0,0,0,0,0,0,0,7.071,0.23,30.0,1.34
WOVEN,678059,34,66,0,0,0,0,0,0,0,0,0,0,0,0,7.727,0.15,30.0,0.71
WOVEN,COTTY-0728WD,0,100,0,0,0,0,0,0,0,0,0,0,0,0,8.889,0.25,28.0,2.05
WOVEN,FINA-PS131BS,0,100,0,0,0,0,0,0,0,0,0,0,0,0,8.99,0.23,30.0,1.56
WOVEN,678171,0,100,0,0,0,0,0,0,0,0,0,0,0,0,8.737,0.21,30.0,1.606
WOVEN,AD-1131 QW,23,23,0,0,0,0,0,54,0,0,0,0,0,0,12.879,0.28,30.0,1.263
WOVEN,TPR-1134,100,0,0,0,0,0,0,0,0,0,0,0,0,0,13.131,0.25,30.0,1.33
WOVEN,EL FRESH SOFT PL,100,0,0,0,0,0,0,0,0,0,0,0,0,0,13.182,0.36,30.0,0.2
WOVEN,AE-5539 UBO,0,39,0,0,0,0,0,61,0,0,0,0,0,0,19.091,0.39,30.0,0.75
WOVEN,ZENI-54S,100,0,0,0,0,0,0,0,0,0,0,0,0,0,20.707,0.34,30.0,1.28
WOVEN,MISTY-CY-0137,36,0,4,60,0,0,0,0,0,0,0,0,0,0,23.586,0.44,30.0,0.107
WOVEN,AG-3301,62,0,3,0,0,0,0,35,0,0,0,0,0,0,24.091,0.43,30.0,0.85
WOVEN,COTTY-AJ-0157FA,0,100,0,0,0,0,0,0,0,0,0,0,0,0,25.354,0.54,30.0,2.05
WOVEN,#9110 UTD,0,100,0,0,0,0,0,0,0,0,0,0,0,0,25.505,0.44,27.0,2.05
WOVEN,D0766,0,23,3,0,0,0,0,0,0,0,74,0,0,0,22.929,0.47,50.0,0.257
WOVEN,TD0029,40,0,0,0,0,0,0,0,0,0,60,0,0,0,33.283,0.84,50.0,0.204
WOVEN,D0807,40,0,0,0,0,0,0,0,0,0,60,0,0,0,26.97,0.69,40.0,0.168
WOVEN,SFT-WKL-001-024,0,100,0,0,0,0,0,0,0,0,0,0,0,0,4.04,0.09,25.0,0.984
WOVEN,578227,33,0,0,0,0,0,0,0,0,0,67,0,0,0,34.798,0.74,60.0,1.78
WOVEN,KKB-1130HZ,59,41,0,0,0,0,0,0,0,0,0,0,0,0,4.495,0.06,30.0,0.18
WOVEN,SJ-1056,0,0,3,0,0,0,0,48,0,49,0,0,0,0,14.444,0.33,30.0,0.107
WOVEN,GG093PGBW,48,12,0,0,0,0,0,40,0,0,0,0,0,0,16.364,0.33,30.0,1.77
WOVEN,J-C4016,57,14,0,0,0,0,0,29,0,0,0,0,0,0,20.455,0.4,30.0,1.4
WOVEN,S-C3018,86,0,0,0,0,0,0,14,0,0,0,0,0,0,17.222,0.35,30.0,1.75
WOVEN,KP-218KP(XP),0,100,0,0,0,0,0,0,0,0,0,0,0,0,3.737,0.07,30.0,0.191
WOVEN,PAPI-7604XP,0,100,0,0,0,0,0,0,0,0,0,0,0,0,3.889,0.08,30.0,0.56
WOVEN,ATTIVO-703,0,100,0,0,0,0,0,0,0,0,0,0,0,0,5.152,0.07,30.0,0.66
WOVEN,CREAMS,0,21,3,0,0,0,0,76,0,0,0,0,0,0,9.293,0.23,30.0,0.281
WOVEN,F/W 4097A,55,0,0,0,0,0,0,0,0,0,0,0,45,0,8.333,0.22,30.0,0.86
WOVEN,SD84373(SD),95,0,5,0,0,0,0,0,0,0,0,0,0,0,31.01,0.86,95.0,2.054
WOVEN,ST12363B,0,86,14,0,0,0,0,0,0,0,0,0,0,0,25.152,0.55,30.0,0.31
WOVEN,BPT-427HZ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,12.879,0.24,30.0,1.51
WOVEN,BPT-846,83,17,0,0,0,0,0,0,0,0,0,0,0,0,12.727,0.23,25.0,2.05
WOVEN,BBS-033,100,0,0,0,0,0,0,0,0,0,0,0,0,0,15.808,0.26,22.0,2.05
WOVEN,YCN317-42,0,25,0,0,0,0,0,75,0,0,0,0,0,0,17.879,0.36,30.0,2.05
WOVEN,YNC202-2(A/W),0,36,0,0,0,0,0,64,0,0,0,0,0,0,15.707,0.34,30.0,0.74
WOVEN,YC606-32,0,0,0,0,0,0,0,100,0,0,0,0,0,0,18.333,0.44,30.0,0.575
WOVEN,SP14016,0,52,5,0,0,0,0,43,0,0,0,0,0,0,13.687,0.36,30.0,0.245
WOVEN,F/W 4072,0,0,0,0,0,0,0,0,0,0,0,0,100,0,7.576,0.21,30.0,0.19
WOVEN,프랑스 장미 자카드,84,0,0,0,0,0,0,0,0,0,0,0,16,0,16.212,0.51,30.0,0.12
KNIT,J17-0880,36,0,0,0,0,0,0,64,0,0,0,0,0,0,24.798,1.14,120.0,0.706
KNIT,SLUB DOUBLE PIQUE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,23.333,1.07,100.0,0.49
KNIT,CP-177060R-3,25,0,0,0,0,0,0,75,0,0,0,0,0,0,27.273,1.06,100.0,1.72
KNIT,GAIN-1565,0,0,18,0,0,0,0,82,0,0,0,0,0,0,32.828,1.23,89.0,2.05
KNIT,16050C,94,0,6,0,0,0,0,0,0,0,0,0,0,0,30.758,0.88,100.0,0.38
KNIT,BACK TWIST F/TERRY,0,0,0,0,0,0,0,100,0,0,0,0,0,0,37.424,1.57,100.0,1.43
KNIT,MF-FD288,95,0,5,0,0,0,0,0,0,0,0,0,0,0,29.192,1.29,100.0,0.321
KNIT,SP-M027A BRUSHED,0,78,22,0,0,0,0,0,0,0,0,0,0,0,29.697,0.91,100.0,1.1
KNIT,STNT18(SJ-60232),100,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.35,65.0,2.05
KNIT,FPR-1118,100,0,0,0,0,0,0,0,0,0,0,0,0,0,23.434,0.58,97.0,2.05
KNIT,#180967,100,0,0,0,0,0,0,0,0,0,0,0,0,0,26.717,0.77,74.0,2.05
KNIT,REO2 910#BK99+P,46,0,54,0,0,0,0,0,0,0,0,0,0,0,22.02,0.55,100.0,0.82
KNIT,REO287#NV01,47,0,53,0,0,0,0,0,0,0,0,0,0,0,26.616,0.66,100.0,1.54
KNIT,RSE729#BK99,52,0,48,0,0,0,0,0,0,0,0,0,0,0,28.687,0.67,100.0,1.23
KNIT,DRS28(B) 618#PP01+W,80,0,20,0,0,0,0,0,0,0,0,0,0,0,26.313,0.69,52.0,2.05
KNIT,KCF-1127,100,0,0,0,0,0,0,0,0,0,0,0,0,0,26.616,1.49,100.0,1.26
KNIT,KCF-2067 ST,96,0,4,0,0,0,0,0,0,0,0,0,0,0,31.717,1.55,100.0,0.44
KNIT,KCF-16-008,95,0,5,0,0,0,0,0,0,0,0,0,0,0,29.444,1.1,100.0,0.22
KNIT,KCF-16-123,94,0,6,0,0,0,0,0,0,0,0,0,0,0,23.99,1.31,100.0,0.421
WOVEN,SN-115C6AWSC0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,3.434,0.07,30.0,0.374
WOVEN,#1623 TPS A/WS,0,100,0,0,0,0,0,0,0,0,0,0,0,0,4.091,0.07,30.0,0.53
WOVEN,#1003 WR,0,100,0,0,0,0,0,0,0,0,0,0,0,0,3.384,0.13,50.0,1.3
WOVEN,#1623 HW,0,100,0,0,0,0,0,0,0,0,0,0,0,0,4.949,0.11,30.0,0.9
WOVEN,#1032 C2L,0,82,18,0,0,0,0,0,0,0,0,0,0,0,10.101,0.22,30.0,0.86
WOVEN,#1840 DP,0,82,18,0,0,0,0,0,0,0,0,0,0,0,9.343,0.24,30.0,0.34
WOVEN,#1826 WR,0,82,18,0,0,0,0,0,0,0,0,0,0,0,10.202,0.27,30.0,0.296
WOVEN,#1834,0,81,19,0,0,0,0,0,0,0,0,0,0,0,12.374,0.35,30.0,0.222
WOVEN,#1711 WR,0,88,12,0,0,0,0,0,0,0,0,0,0,0,12.323,0.32,30.0,0.124
WOVEN,#1750,0,90,10,0,0,0,0,0,0,0,0,0,0,0,12.929,0.38,30.0,0.214
WOVEN,SMV-112,0,0,0,0,0,0,0,50,0,0,0,50,0,0,13.939,0.33,30.0,0.855
WOVEN,MQ36-SH,100,0,0,0,0,0,0,0,0,0,0,0,0,0,15.253,0.3,30.0,0.58
WOVEN,#1752 PD WR,0,86,14,0,0,0,0,0,0,0,0,0,0,0,17.222,0.36,30.0,0.296
WOVEN,YE223,0,37,0,0,0,0,0,63,0,0,0,0,0,0,17.172,0.37,30.0,1.0
WOVEN,SM-1615,100,0,0,0,0,0,0,0,0,0,0,0,0,0,18.03,0.34,30.0,1.22
WOVEN,#YPS-15077,0,35,0,0,0,0,0,65,0,0,0,0,0,0,10.253,0.24,30.0,1.22
WOVEN,H2O-P356R,100,0,0,0,0,0,0,0,0,0,0,0,0,0,15.101,0.28,30.0,1.15
WOVEN,H2O-XN560,0,89,11,0,0,0,0,0,0,0,0,0,0,0,11.717,0.28,30.0,0.68
WOVEN,SINNA 202,100,0,0,0,0,0,0,0,0,0,0,0,0,0,4.848,0.1,30.0,0.12
WOVEN,JQ 0600,100,0,0,0,0,0,0,0,0,0,0,0,0,0,6.414,0.13,30.0,0.181
WOVEN,JQ 9090,100,0,0,0,0,0,0,0,0,0,0,0,0,0,9.04,0.2,30.0,0.137
WOVEN,JQ 3800 LIGHT,0,0,0,0,0,0,0,0,0,0,100,0,0,0,7.273,0.17,30.0,0.093
